episode,timestep,reward,ep_length,elapsed_s,algo
568,116188,211.396,126,91.6,dqn
569,116350,209.048,162,91.8,dqn
570,116581,-53.881,231,92.0,dqn
571,116657,-46.856,76,92.1,dqn
572,116755,212.587,98,92.2,dqn
573,116856,212.684,101,92.3,dqn
574,116954,213.005,98,92.4,dqn
575,117051,212.971,97,92.5,dqn
576,117146,212.714,95,92.6,dqn
577,117245,192.206,99,92.6,dqn
578,117341,213.008,96,92.7,dqn
579,117434,212.726,93,92.8,dqn
580,117528,212.748,94,92.9,dqn
581,117618,212.676,90,93.0,dqn
582,117693,-47.303,75,93.0,dqn
583,117796,191.721,103,93.1,dqn
584,117899,212.771,103,93.2,dqn
585,118004,212.943,105,93.3,dqn
586,118107,-47.074,103,93.4,dqn
587,118203,212.634,96,93.5,dqn
588,118298,213.041,95,93.6,dqn
589,118395,212.856,97,93.7,dqn
590,118499,212.939,104,93.8,dqn
591,118594,192.299,95,93.8,dqn
592,118703,212.257,109,93.9,dqn
593,118798,212.738,95,94.0,dqn
594,118894,212.69,96,94.1,dqn
595,118990,212.769,96,94.2,dqn
596,119089,212.576,99,94.3,dqn
597,119188,192.222,99,94.4,dqn
598,119292,212.794,104,94.5,dqn
599,119396,212.95,104,94.6,dqn
600,119492,213.005,96,94.7,dqn
601,119594,212.733,102,94.8,dqn
602,119691,252.824,97,94.9,dqn
603,119781,212.563,90,95.0,dqn
604,119869,212.634,88,95.0,dqn
605,120059,219.937,190,95.2,dqn
606,120166,213.02,107,95.3,dqn
607,120265,212.547,99,95.4,dqn
608,120349,-47.411,84,95.4,dqn
609,120449,212.784,100,95.5,dqn
610,120559,212.832,110,95.6,dqn
611,120663,212.564,104,95.7,dqn
612,120765,212.733,102,95.8,dqn
613,120877,212.593,112,95.9,dqn
614,120973,212.806,96,96.0,dqn
615,121070,212.688,97,96.1,dqn
616,121171,212.722,101,96.2,dqn
617,121321,212.543,150,96.3,dqn
618,121420,212.624,99,96.4,dqn
619,121609,209.404,189,96.6,dqn
620,121705,212.649,96,96.7,dqn
621,121805,212.794,100,96.8,dqn
622,121899,212.782,94,96.9,dqn
623,122005,212.732,106,97.0,dqn
624,122131,212.273,126,97.1,dqn
625,122270,210.377,139,97.2,dqn
626,122399,210.582,129,97.3,dqn
627,122524,190.157,125,97.4,dqn
628,122649,213.163,125,97.6,dqn
629,122744,212.876,95,97.7,dqn
630,122857,212.288,113,97.8,dqn
631,122967,212.839,110,97.9,dqn
632,123066,212.811,99,97.9,dqn
633,123160,212.677,94,98.0,dqn
634,123257,212.624,97,98.1,dqn
635,123353,-47.136,96,98.2,dqn
636,123451,212.859,98,98.3,dqn
637,123551,212.849,100,98.4,dqn
638,123659,213.692,108,98.5,dqn
639,123795,213.133,136,98.6,dqn
640,123923,212.003,128,98.7,dqn
641,124020,212.616,97,98.8,dqn
642,124127,191.809,107,98.9,dqn
643,124210,-47.316,83,99.0,dqn
644,124313,191.869,103,99.1,dqn
645,124416,213.028,103,99.2,dqn
646,124505,-47.182,89,99.3,dqn
647,124592,-67.616,87,99.3,dqn
648,124688,212.871,96,99.4,dqn
649,124777,212.574,89,99.5,dqn
650,124887,211.738,110,99.6,dqn
651,124973,212.676,86,99.7,dqn
652,125084,252.379,111,99.8,dqn
653,125184,212.855,100,99.9,dqn
654,125285,212.975,101,100.0,dqn
655,125375,212.844,90,100.0,dqn
656,125479,212.634,104,100.1,dqn
657,125550,-47.456,71,100.2,dqn
658,125677,212.431,127,100.3,dqn
659,125796,212.457,119,100.4,dqn
660,125903,212.462,107,100.5,dqn
661,126001,212.486,98,100.6,dqn
662,126119,212.522,118,100.7,dqn
663,126218,212.445,99,100.8,dqn
664,126311,212.515,93,100.9,dqn
665,126410,212.506,99,101.0,dqn
666,126510,191.801,100,101.1,dqn
667,126610,212.489,100,101.2,dqn
668,126701,-46.524,91,101.3,dqn
669,126794,212.455,93,101.4,dqn
670,126897,212.574,103,101.4,dqn
671,127003,212.729,106,101.6,dqn
672,127100,212.545,97,101.6,dqn
673,127199,212.445,99,101.7,dqn
674,127301,212.595,102,101.8,dqn
675,127402,212.581,101,101.9,dqn
676,127500,212.495,98,102.0,dqn
677,127601,212.391,101,102.1,dqn
678,127701,212.832,100,102.2,dqn
679,127808,212.895,107,102.3,dqn
680,127904,212.706,96,102.4,dqn
681,128002,212.959,98,102.4,dqn
682,128098,212.72,96,102.5,dqn
683,128195,212.72,97,102.6,dqn
684,128354,222.051,159,102.7,dqn
685,128452,212.859,98,102.8,dqn
686,128555,212.836,103,102.9,dqn
687,128656,213.253,101,103.0,dqn
688,128772,203.511,116,103.1,dqn
689,128869,212.692,97,103.2,dqn
690,128964,212.941,95,103.4,dqn
691,129045,-47.621,81,103.5,dqn
692,129146,212.656,101,103.6,dqn
693,129246,253.055,100,103.7,dqn
694,129342,212.542,96,103.7,dqn
695,129435,212.964,93,103.8,dqn
696,129530,213.149,95,103.9,dqn
697,129631,212.863,101,104.0,dqn
698,129726,212.618,95,104.1,dqn
699,129808,-47.425,82,104.2,dqn
700,129911,212.951,103,104.2,dqn
701,130011,212.659,100,104.3,dqn
702,130113,212.488,102,104.4,dqn
703,130211,212.843,98,104.5,dqn
704,130306,212.457,95,104.6,dqn
705,130414,212.556,108,104.7,dqn
706,130514,212.892,100,104.8,dqn
707,130611,212.411,97,104.9,dqn
708,130698,-47.122,87,104.9,dqn
709,130800,212.961,102,105.0,dqn
710,130881,-47.516,81,105.1,dqn
711,130983,213.014,102,105.2,dqn
712,131086,213.007,103,105.3,dqn
713,131191,212.642,105,105.4,dqn
714,131287,191.988,96,105.5,dqn
715,131381,-37.029,94,105.6,dqn
